x,y,diameter_pixel,imagePath,realDiameter,sample
372,464,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
674,423,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
374,585,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
824,418,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514,Sample 1
195,510,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
808,336,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.6213677722338,Sample 1
1010,777,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
64,530,432,example/input\Nikon DS-Ri2\Sample 1\091.tif,633.9888464925157,Sample 1
380,524,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098,Sample 1
279,430,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098,Sample 1
492,183,424,example/input\Nikon DS-Ri2\Sample 1\091.tif,622.2483122982098,Sample 1
1024,766,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572,Sample 1
224,580,368,example/input\Nikon DS-Ri2\Sample 1\091.tif,540.064572938069,Sample 1
188,322,320,example/input\Nikon DS-Ri2\Sample 1\091.tif,469.6213677722338,Sample 1
63,255,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
176,104,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572,Sample 1
1167,392,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397,Sample 1
1010,670,352,example/input\Nikon DS-Ri2\Sample 1\091.tif,516.5835045494572,Sample 1
621,244,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
339,705,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
1062,165,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
482,394,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
1124,518,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
970,381,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
638,411,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
1041,537,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397,Sample 1
130,627,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
932,772,384,example/input\Nikon DS-Ri2\Sample 1\091.tif,563.5456413266807,Sample 1
910,514,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
1116,732,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
328,620,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
1053,322,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
116,364,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397,Sample 1
483,734,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
514,40,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
69,434,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
1194,279,328,example/input\Nikon DS-Ri2\Sample 1\091.tif,481.3619019665397,Sample 1
542,796,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
696,790,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
1182,806,344,example/input\Nikon DS-Ri2\Sample 1\091.tif,504.8429703551514,Sample 1
3,174,336,example/input\Nikon DS-Ri2\Sample 1\091.tif,493.1024361608456,Sample 1
916,603,440,example/input\Nikon DS-Ri2\Sample 1\092.tif,645.7293806868215,Sample 1
812,568,432,example/input\Nikon DS-Ri2\Sample 1\092.tif,633.9888464925157,Sample 1
1026,608,424,example/input\Nikon DS-Ri2\Sample 1\092.tif,622.2483122982098,Sample 1
1128,639,432,example/input\Nikon DS-Ri2\Sample 1\092.tif,633.9888464925157,Sample 1
396,111,424,example/input\Nikon DS-Ri2\Sample 1\092.tif,622.2483122982098,Sample 1
472,286,384,example/input\Nikon DS-Ri2\Sample 1\092.tif,563.5456413266807,Sample 1
975,144,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
78,130,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
705,264,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
1076,478,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
898,296,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
936,718,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
1006,424,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
794,308,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
570,358,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
591,112,360,example/input\Nikon DS-Ri2\Sample 1\092.tif,528.3240387437631,Sample 1
714,144,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
1126,364,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
846,693,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
