x,y,diameter_pixel,imagePath,realDiameter
531,477,424,example/input\Nikon DS-Ri2\Sample 1\094.tif,622.2483122982098
708,604,424,example/input\Nikon DS-Ri2\Sample 1\094.tif,622.2483122982098
258,512,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
170,546,320,example/input\Nikon DS-Ri2\Sample 1\094.tif,469.62136777223384
688,710,368,example/input\Nikon DS-Ri2\Sample 1\094.tif,540.064572938069
806,651,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
336,670,368,example/input\Nikon DS-Ri2\Sample 1\094.tif,540.064572938069
214,648,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
879,141,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
578,642,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
603,174,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
254,768,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
954,668,352,example/input\Nikon DS-Ri2\Sample 1\094.tif,516.5835045494572
970,568,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
904,764,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
315,444,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
280,594,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
405,447,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
789,736,352,example/input\Nikon DS-Ri2\Sample 1\094.tif,516.5835045494572
1042,358,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
126,628,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
432,356,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
1010,484,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
674,222,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
110,728,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
1035,252,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
1107,186,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
1164,537,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
1155,410,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
820,423,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
376,564,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
981,140,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
795,567,320,example/input\Nikon DS-Ri2\Sample 1\094.tif,469.62136777223384
750,490,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
478,722,336,example/input\Nikon DS-Ri2\Sample 1\094.tif,493.10243616084557
933,74,320,example/input\Nikon DS-Ri2\Sample 1\094.tif,469.62136777223384
906,508,344,example/input\Nikon DS-Ri2\Sample 1\094.tif,504.8429703551514
447,519,328,example/input\Nikon DS-Ri2\Sample 1\094.tif,481.3619019665397
